seconds,t_motor,t_ambient
3511.95,35.94,22.25
3516.04,35.94,22.25
3520.14,36.0,22.25
3524.23,36.0,22.25
3528.33,36.0,22.25
3532.43,35.94,22.25
3536.52,36.0,22.187
3540.62,35.94,22.25
3544.71,36.0,22.25
3548.81,35.94,22.25
3552.91,36.0,22.25
3557.0,36.0,22.25
3561.1,36.0,22.25
3565.19,36.0,22.25
3569.29,36.0,22.25
3573.39,36.0,22.25
3577.48,36.0,22.25
3581.58,36.0,22.25
3585.67,36.0,22.25
3589.77,36.0,22.25
3593.87,36.0,22.25
3597.96,36.0,22.25
3602.06,36.0,22.25
3606.15,36.0,22.187
3610.25,36.0,22.187
3614.35,36.0,22.25
3618.44,36.0,22.25
3622.54,36.0,22.25
3626.63,36.0,22.25
3630.73,36.0,22.25
3634.83,36.0,22.25
3638.92,36.0,22.25
3643.02,36.0,22.25
3647.11,36.0,22.25
3651.21,36.0,22.187
3655.31,36.0,22.25
3659.4,36.0,22.25
3663.5,36.0,22.25
3667.59,36.0,22.25
3671.69,36.0,22.25
3675.79,36.0,22.25
3679.88,36.0,22.25
3683.98,36.0,22.25
3688.07,36.0,22.25
3692.17,36.0,22.25
3696.27,36.0,22.25
3700.36,36.0,22.187
3704.46,36.0,22.187
3708.55,36.0,22.25
3712.65,36.06,22.25
3716.75,36.0,22.25
3720.84,36.0,22.25
3724.94,36.0,22.25
3729.03,36.0,22.25
3733.13,36.0,22.25
3737.23,36.0,22.25
3741.32,36.0,22.25
3745.42,36.0,22.25
3749.51,36.0,22.25
3753.61,36.0,22.25
3757.71,36.06,22.25
3761.8,36.0,22.25
3765.9,36.0,22.25
3769.99,36.0,22.25
3774.09,36.0,22.25
3778.19,36.0,22.25
3782.28,36.0,22.25
3786.38,36.0,22.25
3790.47,36.0,22.25
3794.57,36.0,22.25
3798.67,36.0,22.25
3802.76,36.0,22.25
3806.86,36.0,22.25
3810.95,36.0,22.25
3815.05,36.0,22.25
3819.15,36.0,22.25
3823.24,36.0,22.25
3827.34,36.0,22.25
3831.43,36.0,22.25
3835.53,36.0,22.25
3839.63,36.0,22.25
3843.72,36.06,22.312
3847.82,36.0,22.25
3851.91,36.06,22.25
3856.01,36.0,22.25
3860.11,36.0,22.25
3864.2,36.0,22.25
3868.3,36.06,22.25
3872.39,36.0,22.25
3876.49,36.0,22.25
3880.59,36.06,22.25
3884.68,36.06,22.312
3888.78,36.0,22.312
3892.87,36.06,22.25
3896.97,36.06,22.312
3901.07,36.06,22.312
3905.16,36.06,22.25
3909.26,36.06,22.25
3913.35,36.06,22.25
3917.45,36.06,22.312
3921.55,36.0,22.25
3925.64,36.06,22.312
3929.74,36.06,22.25
3933.83,36.0,22.25
3937.93,36.06,22.312
3942.03,36.06,22.25
3946.12,36.06,22.25
