seconds,t_motor,t_ambient
3065.47,25.69,22.75
3069.57,25.69,22.75
3073.66,25.69,22.75
3077.76,25.69,22.75
3081.85,25.69,22.75
3085.95,25.69,22.75
3090.05,25.69,22.75
3094.14,25.62,22.75
3098.24,25.69,22.75
3102.33,25.69,22.75
3106.43,25.69,22.75
3110.53,25.69,22.75
3114.62,25.69,22.75
3118.72,25.75,22.75
3122.81,25.69,22.75
3126.91,25.69,22.75
3131.01,25.62,22.75
3135.1,25.69,22.75
3139.2,25.69,22.75
3143.29,25.62,22.75
3147.39,25.62,22.75
3151.49,25.69,22.75
3155.58,25.69,22.75
3159.68,25.69,22.75
3163.77,25.69,22.75
3167.87,25.69,22.75
3171.97,25.69,22.75
3176.06,25.69,22.75
3180.16,25.69,22.75
3184.25,25.69,22.75
3188.35,25.69,22.75
3192.45,25.69,22.69
3196.54,25.69,22.69
3200.64,25.69,22.69
3204.73,25.69,22.75
3208.83,25.69,22.69
3212.93,25.69,22.75
3217.02,25.69,22.75
3221.12,25.62,22.69
3225.21,25.69,22.75
3229.31,25.69,22.69
3233.41,25.69,22.75
3237.5,25.69,22.75
3241.6,25.69,22.69
3245.69,25.62,22.75
3249.79,25.69,22.69
3253.89,25.69,22.75
3257.98,25.69,22.75
3262.08,25.62,22.75
3266.17,25.62,22.75
3270.27,25.62,22.75
3274.37,25.69,22.75
3278.46,25.69,22.69
3282.56,25.69,22.69
3286.65,25.69,22.75
3290.75,25.62,22.69
3294.85,25.69,22.69
3298.94,25.62,22.75
3303.04,25.62,22.69
3307.13,25.69,22.75
3311.23,25.62,22.69
3315.33,25.62,22.69
3319.42,25.62,22.69
3323.52,25.62,22.69
3327.61,25.62,22.75
3331.71,25.62,22.69
3335.81,25.62,22.75
3339.9,25.62,22.69
3344.0,25.62,22.69
3348.09,25.56,22.75
3352.19,25.62,22.69
3356.29,25.62,22.75
3360.38,25.62,22.69
3364.48,25.62,22.69
3368.57,25.62,22.69
3372.67,25.62,22.69
3376.77,25.62,22.69
3380.86,25.62,22.69
3384.96,25.62,22.69
3389.05,25.62,22.69
3393.15,25.62,22.69
3397.25,25.62,22.69
3401.34,25.62,22.69
3405.44,25.62,22.69
3409.53,25.62,22.69
3413.63,25.62,22.69
3417.73,25.62,22.69
3421.82,25.62,22.69
3425.92,25.62,22.62
3430.01,25.69,22.62
3434.11,25.62,22.75
3438.21,25.62,22.69
3442.3,25.62,22.69
3446.4,25.62,22.69
3450.49,25.62,22.69
3454.59,25.62,22.69
3458.69,25.62,22.75
3462.78,25.69,22.69
3466.88,25.69,22.69
3470.97,25.62,22.69
3475.07,25.62,22.69
3479.17,25.69,22.75
3483.26,25.69,22.75
3487.36,25.69,22.69
3491.45,25.62,22.75
3495.55,25.69,22.75
3499.65,25.62,22.69
3503.74,25.69,22.69
3507.84,25.69,22.69
3511.93,25.69,22.75
3516.03,25.69,22.75
3520.13,25.62,22.75
3524.22,25.69,22.75
3528.32,25.69,22.75
3532.41,25.69,22.75
3536.51,25.69,22.75
3540.61,25.69,22.75
3544.73,25.69,22.75
3548.83,25.69,22.75
3552.93,25.69,22.75
3557.02,25.69,22.75
3561.12,25.69,22.75
3565.21,25.69,22.75
3569.31,25.75,22.75
3573.41,25.75,22.75
3577.5,25.69,22.75
3581.6,25.69,22.75
3585.69,25.69,22.75
3589.79,25.69,22.75
3593.89,25.75,22.75
3597.98,25.69,22.75
3602.08,25.75,22.75
3606.17,25.75,22.75
3610.27,25.69,22.75
3614.37,25.69,22.75
3618.46,25.75,22.75
3622.56,25.75,22.75
3626.65,25.75,22.75
3630.75,25.75,22.75
3634.85,25.75,22.75
3638.94,25.75,22.75
3643.04,25.75,22.75
3647.13,25.75,22.75
3651.23,25.75,22.81
3655.33,25.75,22.75
3659.42,25.75,22.81
3663.52,25.75,22.75
3667.61,25.75,22.81
3671.71,25.75,22.81
3675.81,25.75,22.81
3679.9,25.75,22.75
3684.0,25.75,22.81
3688.09,25.75,22.81
3692.19,25.75,22.75
3696.29,25.75,22.81
3700.38,25.75,22.81
3704.48,25.81,22.81
3708.57,25.75,22.81
3712.67,25.81,22.75
3716.77,25.81,22.81
3720.86,25.81,22.81
3724.96,25.81,22.81
3729.05,25.75,22.81
3733.15,25.81,22.81
3737.25,25.81,22.88
3741.34,25.81,22.81
3745.44,25.81,22.81
3749.53,25.81,22.81
3753.63,25.81,22.75
3757.73,25.81,22.88
3761.82,25.81,22.81
3765.92,25.88,22.81
3770.01,25.81,22.81
3774.11,25.81,22.88
3778.21,25.88,22.81
3782.3,25.88,22.88
3786.4,25.81,22.88
3790.49,25.88,22.88
3794.59,25.81,22.88
3798.69,25.81,22.88
3802.78,25.88,22.88
3806.88,25.88,22.88
3810.97,25.88,22.88
3815.07,25.88,22.88
3819.17,25.88,22.88
3823.26,25.88,22.88
3827.36,25.88,22.94
3831.45,25.88,22.88
3835.55,25.88,22.88
3839.65,25.94,22.94
3843.74,25.94,22.94
3847.84,25.94,22.94
3851.93,25.94,22.94
3856.03,25.94,22.94
3860.13,25.94,22.94
3864.22,25.94,22.94
3868.32,25.94,22.94
3872.41,26.0,22.94
3876.51,25.94,22.94
3880.61,26.0,22.94
3884.7,25.94,22.94
3888.8,25.94,23.0
3892.89,26.0,23.0
3896.99,25.94,22.94
3901.09,25.94,23.0
3905.18,25.94,23.0
3909.28,26.0,23.0
3913.37,26.0,23.0
3917.47,26.0,23.0
3921.57,26.0,23.0
3925.66,26.0,23.0
3929.76,26.06,23.0
3933.85,26.06,23.0
3937.95,26.0,23.0
3942.05,26.06,23.0
3946.14,26.06,23.06
3950.24,26.06,23.06
3954.33,26.06,23.06
3958.43,26.06,23.06
3962.53,26.06,23.06
3966.62,26.06,23.06
3970.72,26.06,23.06
3974.81,26.06,23.06
3978.91,26.06,23.06
3983.01,26.12,23.06
3987.1,26.06,23.06
3991.2,26.12,23.06
3995.29,26.12,23.06
3999.39,26.06,23.06
4003.49,26.19,23.06
4007.58,26.12,23.06
4011.68,26.12,23.06
4015.77,26.12,23.12
4019.87,26.12,23.06
4023.97,26.12,23.06
4028.06,26.12,23.06
4032.16,26.12,23.12
4036.25,26.19,23.12
4040.35,26.19,23.12
4044.45,26.19,23.12
4048.54,26.19,23.12
4052.64,26.19,23.12
4056.73,26.19,23.12
4060.83,26.19,23.12
4064.93,26.19,23.12
4069.02,26.19,23.12
4073.12,26.19,23.12
4074.94,26.16,23.0
4079.04,26.16,23.0
4083.13,26.16,23.06
4087.23,26.16,23.0
4091.33,26.16,23.0
4095.42,26.16,23.0
4099.52,26.22,23.0
4103.61,26.16,23.0
4107.71,26.22,23.0
4111.81,26.22,23.0
4115.9,26.22,23.0
4120.0,26.16,23.0
4124.09,26.16,23.0
4128.19,26.22,23.0
4132.29,26.16,22.94
4136.38,26.16,23.0
4140.48,26.22,23.0
4144.57,26.16,23.0
4148.67,26.16,23.0
4152.77,26.16,23.0
4156.86,26.16,23.0
4160.96,26.22,23.0
4165.05,26.22,23.0
4169.15,26.22,23.0
4173.25,26.16,22.94
4177.34,26.22,23.0
4181.44,26.16,22.94
4185.53,26.22,23.0
4189.63,26.16,23.0
4193.73,26.22,23.0
4197.82,26.22,23.0
4201.92,26.22,22.94
4206.01,26.22,23.0
4210.11,26.22,23.0
4214.21,26.22,23.0
4218.3,26.22,23.0
4222.4,26.22,23.0
4226.49,26.22,23.0
4230.59,26.22,22.94
4234.69,26.22,23.0
4238.78,26.22,23.0
4242.88,26.22,23.0
4246.97,26.22,23.0
4251.07,26.22,22.94
4255.17,26.22,22.94
4259.26,26.22,23.0
4263.36,26.22,22.94
4267.45,26.22,22.94
4271.55,26.22,23.0
4275.65,26.22,23.0
4279.74,26.22,22.94
4283.84,26.22,22.94
4287.94,26.22,22.94
4292.03,26.22,22.94
4296.13,26.22,22.94
4300.22,26.22,22.94
4304.32,26.22,22.94
4308.41,26.22,22.94
4312.51,26.22,22.94
4316.61,26.22,22.94
4320.7,26.22,22.94
4324.8,26.22,22.94
4328.89,26.22,22.94
4332.99,26.22,22.94
4337.09,26.22,22.94
4341.18,26.22,22.94
4345.28,26.22,22.94
4349.37,26.22,22.94
